week	dk1_price_vol	dk1_load_vol	dk1_wind_vol	dk1_pen_vol	dk1_exim_vol	dk1_load	dk1_wind	dk1_pen	dk1_exim
122	2.005205541	5.430830425	6.247166382	-1.335197892	6.261047991	7.694810141	6.682071301	-0.980236205	-0.944791667
123	1.76964518	5.542891544	6.081929818	-1.350728018	5.515592836	7.603310273	6.255818589	-1.249446186	-0.868344643
124	2.116367521	5.352773454	6.646545846	-0.90622055	5.80448322	7.671305447	6.993343024	-0.629289044	-0.693790476
125	2.021542784	5.542064099	6.568413001	-1.052554101	5.959379548	7.608994629	6.822839108	-0.784188025	-1.016057738
126	2.02639622	5.54025376	5.486831912	-2.303771663	5.523526434	7.674451602	5.96916416	-1.706984918	-1.377819643
127	2.077606465	5.629674019	6.05840145	-1.465584749	5.216321519	7.612604555	7.095143344	-0.477138345	-1.001979167
128	2.120798007	5.3101965	6.114262663	-1.37125064	5.750408574	7.631648144	6.895357312	-0.673687947	-0.957932143
129	2.277480272	5.508338473	5.972665557	-1.471303714	6.045146064	7.661966761	6.416382081	-1.162500149	-1.15684881
130	2.3480758	5.417777469	6.017647395	-1.451127576	5.415767717	7.665454931	6.450931085	-1.112974592	-0.792852381
131	2.081280452	5.42084022	6.125474079	-1.601041922	5.657683901	7.655204616	6.827222868	-0.803697528	-1.246363095
132	2.064895779	5.422396139	5.26376312	-2.404339573	4.716149767	7.6484986	5.832109375	-1.807132567	-1.438291071
133	2.193278533	5.271727676	5.676927287	-1.735611072	5.761981062	7.598930278	6.437313459	-1.116410973	-1.099320238
134	1.820724929	4.952272019	5.576761017	-2.033406611	5.525789108	7.497854084	6.714892645	-0.763239831	-0.682335714
135	2.237549762	4.653822442	6.244850197	-1.279596554	6.090665927	7.497850784	6.177894715	-1.311116341	-1.116425595
136	1.441372242	5.222806891	5.361972195	-2.327507041	4.817113032	7.59296029	5.939669874	-1.653354312	-1.497489881
137	2.467124245	5.356097263	6.294493524	-1.433176732	5.699933257	7.635065187	6.537321144	-1.14386901	-1.288755357
138	1.701502805	5.250588706	5.048644513	-2.519558449	4.342460374	7.673699198	5.942877487	-1.677344182	-1.366985714
139	2.266122051	5.454929569	6.073199117	-1.665562036	5.996662656	7.689357486	6.371398149	-1.324950357	-1.351692262
140	1.733708981	5.415688195	5.409974446	-2.120469502	5.263344455	7.686880813	6.356376308	-1.244395575	-1.381782143
141	2.18641171	5.376559679	6.01635972	-1.711229494	4.906128782	7.688111734	6.822968698	-0.858067723	-1.234005952
142	2.317782223	5.414942811	6.117986792	-1.49197325	5.00243202	7.677563081	7.028380832	-0.617617116	-0.513696429
143	1.797520596	5.27521697	5.922929416	-1.79272944	3.853689224	7.700014925	6.712254398	-0.957732611	-0.61623869
144	1.927094758	5.379979863	6.1666191	-1.377660697	6.185911112	7.720213428	6.972126375	-0.686516753	-0.630319048
145	1.79451083	5.213371918	6.239210136	-1.346235226	5.598114017	7.729908001	6.925302798	-0.752620046	-0.766421429
146	2.081124805	5.236877644	6.255656117	-1.518613248	5.862796156	7.734855638	6.803558108	-0.889727577	-0.798715476
147	1.071007189	5.264356351	6.23412755	-1.509942944	5.625955956	7.715394371	6.472962503	-1.250165448	-1.019655357
148	1.603531913	5.58525413	6.147766964	-1.708637803	6.000937437	7.758360521	6.455305251	-1.316368998	-1.099595048
149	1.537207921	5.4258252	6.227135055	-1.627659842	6.325128572	7.776065519	7.003460402	-0.74558633	-0.063727976
150	1.180025435	5.363460211	6.287022298	-1.48709462	5.951351847	7.792476713	7.081533501	-0.665884462	-0.313056548
151	1.443565413	5.339927795	5.716708022	-2.136337731	5.174461269	7.785871798	6.506637849	-1.231752876	-1.1549625
152	1.675572771	5.108316405	6.321638969	-1.413325934	6.630096168	7.81930144	7.133580944	-0.654052957	-0.54533869
153	1.433995894	5.210146076	5.939983757	-1.81984312	5.887627355	7.831992922	6.407851932	-1.339568634	-0.916996429
154	1.763695457	5.009809711	6.001119951	-1.764636233	6.146080251	7.897274345	6.741194579	-1.096896233	-0.173740476
155	2.61805433	5.491341892	6.661450615	-1.174175973	6.169533352	7.88760861	7.13735414	-0.698697335	-0.154469048
156	2.402701736	5.476405316	6.77341413	-0.914904379	6.800040552	7.873869654	7.186725405	-0.601487037	-0.036707143
157	3.100154233	4.738319928	6.371767006	-1.318428592	5.968164042	7.676461573	7.315450537	-0.325850039	1.052281771
