date	op1_price	op2_price	p_price	op1_load	op2_load	p_load	op1_wind	op2_wind	p_wind	op1_res	op2_res	p_res	op1_wind_pen	op2_wind_pen	p_wind_pen	op1_res_pen	op2_res_pen	p_res_pen	op1_exp	op2_exp	p_exp	p_solar	p_solar_pen
18/03/12	3.309584525	3.746735541	3.595140955	10.53892286	10.747514	10.77747951	8.207021104	8.588805695	8.656117827	8.265362541	8.588805695	9.247462089	-2.32994234	-2.159169664	-2.117649641	-2.272402859	-2.159169664	-1.528385319	0.223375	3	0.685416667	8.440961144	-2.33747153
19/03/12	3.490199831	3.943957624	3.969757179	10.68744332	10.92086719	11.03653347	8.81611171	8.181771503	8.747603344	8.840666485	8.181771503	9.443129488	-1.846444686	-2.72799522	-2.288526469	-1.82824602	-2.72799522	-1.596126246	2.751125	2.61675	2.205	8.752355626	-2.290020943
20/03/12	3.615401091	3.837838107	3.842065383	10.79590559	10.93737019	11.05893822	8.541953607	8.396152606	8.741217954	8.610510591	8.396152606	9.617442057	-2.253871463	-2.537600111	-2.317314095	-2.197491473	-2.537600111	-1.44686465	2.73	2.924	2.096083333	9.078984753	-1.989461846
21/03/12	3.675920853	3.90141696	3.877655828	10.79961129	10.94428974	11.06085343	8.169628763	7.229994563	7.520663552	8.272288481	7.229994563	9.290127739	-2.599323766	-3.712617843	-3.538525449	-2.517607936	-3.712617843	-1.780152905	2.7155	2.167	2.04025	9.10328685	-1.969287724
22/03/12	3.688504384	3.877897291	3.869724227	10.80579092	10.94372451	11.06875331	7.104365925	7.424098155	7.187376197	7.381234113	7.424098155	9.276974742	-3.686699748	-3.519546147	-3.876133194	-3.459129372	-3.519546147	-1.801726427	1.344625	2.44825	2.10825	9.144885965	-1.935979147
23/03/12	3.566429294	3.784984772	3.811594751	10.80404009	10.89649856	11.04450059	6.864107029	6.868845517	6.542976156	7.176121209	6.868845517	8.954600021	-3.923179648	-4.027675733	-4.496352885	-3.665356263	-4.027675733	-2.105536351	0.333375	1.63175	1.545416667	8.860652391	-2.201557168
24/03/12	3.557346064	3.777119243	3.671648517	10.67519461	10.74314559	10.86138877	6.39401395	7.295555274	6.814695648	6.915776151	7.295555274	9.105522302	-4.280356126	-3.441363959	-4.031792947	-3.785668885	-3.441363959	-1.769240469	-0.363	1.142	0.139416667	8.998846717	-1.879149617
25/03/12	3.109953418	3.71704165	3.085115835	10.50626545	10.75660417	10.71908095	6.52307118	6.954097211	7.089505839	6.667993945	6.954097211	8.504190944	-3.980948583	-3.805863306	-3.624454328	-3.835126023	-3.805863306	-2.22535482	1.54575	0.76975	1.728416667	8.225796116	-2.50880469
26/03/12	3.467804075	3.881821497	3.821186139	10.71074994	10.91813382	11.03422815	7.204903654	7.408203241	7.095987459	7.254800443	7.408888836	9.334972234	-3.456266858	-3.500433142	-3.928775614	-3.420135102	-3.499821422	-1.711076607	-0.171	0.84075	2.026333333	9.222288705	-1.826329564
27/03/12	3.48239327	3.818810624	3.736041309	10.75730696	10.90973781	11.03343834	8.305377116	8.371724547	8.510282031	8.326073242	8.37214661	9.653905881	-2.452498131	-2.53505887	-2.518881134	-2.436071479	-2.534678624	-1.389364938	-0.845	0.17375	1.541166667	9.270208904	-1.779729011
28/03/12	3.469712361	3.690315922	3.778301118	10.76080293	10.86603667	11.01485153	8.193030382	9.292050765	8.856605981	8.217140754	9.292295519	9.78487461	-2.564757899	-1.562880396	-2.139519481	-2.545588978	-1.56266055	-1.233551136	-0.77075	0.75525	1.92175	9.281955281	-1.751318025
