date	de_price_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_op1_exim	de_op2_exim	de_p_exim
11/04/12	2.495719889	10.97441527	8.175921037	7.73707336	8.673527058	-2.758752531	-3.351576311	-2.318715837	0.90975	1.0295	-0.204333333
12/04/12	2.149659012	10.89909996	7.381064896	8.228501276	8.585134666	-3.499641168	-2.774866236	-2.379832959	1.834625	0.9235	1.834666667
13/04/12	2.483696636	10.88935954	7.462640969	8.213192243	8.599886422	-3.398531771	-2.806149621	-2.36595569	1.592125	0.04825	1.112833333
14/04/12	1.56732918	10.84106021	7.370318406	8.193021797	8.557138802	-3.477036584	-2.745533264	-2.352690773	0.518625	0.856	-0.229333333
15/04/12	1.567595692	10.78818699	8.653131747	7.725228855	8.98629996	-2.159756801	-3.136754292	-1.840256587	-0.9135	0.3095	-1.393083333
16/04/12	2.473546338	10.982888	8.992121808	8.117141653	9.340572228	-1.977254328	-2.995770801	-1.668938878	0.0545	1.61425	1.93025
17/04/12	2.414838903	10.98265153	8.463867482	8.539988273	9.19579918	-2.508244557	-2.552789984	-1.837122073	2.219375	1.98725	2.422416667
18/04/12	2.52347944	11.00414012	8.611626168	8.110115471	9.085133071	-2.359753848	-3.006191208	-1.938475134	1.818625	1.588	2.33475
19/04/12	2.194261096	10.98939588	8.494373457	8.37896512	9.131480432	-2.462074154	-2.73197478	-1.894798998	2.012375	1.574	1.886916667
20/04/12	2.426079635	10.96936141	7.402201744	8.246760872	8.604258223	-3.526341453	-2.850711058	-2.439372862	1.43475	0.71225	1.6425
21/04/12	1.724340127	10.84123477	8.256581931	8.391751512	9.019596018	-2.593971114	-2.550131945	-1.878664134	0.948	1.56375	2.03025
22/04/12	1.892237095	10.69936335	8.398156433	8.19512284	8.99493082	-2.305562678	-2.58429706	-1.742102358	1.53975	1.77125	1.229833333
23/04/12	2.246097598	10.90289856	8.400889405	8.398575182	9.092880144	-2.472474297	-2.648365067	-1.863410281	0.50125	1.3345	2.150166667
24/04/12	2.325258152	10.91280176	8.408728418	7.91266583	8.884293758	-2.464106273	-3.118685689	-2.045619267	0.8895	0.811	0.91575
25/04/12	1.802952685	10.94296521	8.787918431	8.400063926	9.305825555	-2.155219683	-2.655414544	-1.681216262	0.852625	0.4855	1.272916667
26/04/12	2.339555251	10.99250325	9.146438004	8.358152568	9.521185183	-1.835545798	-2.763479632	-1.502386352	0.291875	1.06325	2.063833333
27/04/12	2.224241761	10.97948777	8.450028826	8.578096363	9.209258537	-2.503426241	-2.533858276	-1.825379319	1.537875	0.2835	2.127333333
28/04/12	2.07003824	10.80855302	8.165755225	8.568375769	9.08034019	-2.633585025	-2.350622469	-1.788981303	-0.85575	-0.4475	-0.400333333
29/04/12	2.491081242	10.6695066	8.78087857	8.351012074	9.282014972	-1.862437492	-2.39730612	-1.401382384	2.306	-0.7825	1.527166667
30/04/12	2.294552932	10.77397603	8.240463038	8.626037806	9.144867103	-2.490230659	-2.297000439	-1.695808372	0.38125	0.7545	0.699416667
01/05/12	2.382477624	10.62847653	8.359862739	8.615124781	9.188763762	-2.240709316	-2.08458037	-1.466453721	-0.661625	-0.65575	-0.156833333
02/05/12	2.63891764	10.92011068	8.220404221	8.604396852	9.123866873	-2.647293855	-2.483922922	-1.869128654	-0.85525	0.77625	1.391333333
03/05/12	2.362202627	10.96523845	7.911193879	8.420520062	8.891086245	-2.994030911	-2.680370252	-2.131805609	-0.07075	0.4375	0.175666667
04/05/12	2.207100018	10.94661943	8.257069756	8.694071069	9.1924013	-2.699374805	-2.386386422	-1.837537875	-1.27925	0.39625	0.987083333
05/05/12	1.729279749	10.76934339	8.116116565	8.17283453	8.83802479	-2.658679995	-2.693350778	-1.982717956	-0.71725	1.888	1.818583333
06/05/12	1.782890062	10.67699085	7.817307693	8.183554902	8.710252723	-2.830277877	-2.578400371	-2.003282534	0.06525	0.25	-0.456166667
07/05/12	2.342428453	10.93760947	7.297803686	8.334874335	8.63830051	-3.560291768	-2.744977733	-2.378599774	0.22475	0.5505	0.15925
08/05/12	1.755683405	10.94233067	8.29372813	8.583089111	9.141985712	-2.641092899	-2.492430407	-1.870854446	-1.372375	0.486	-1.122916667
09/05/12	2.305004808	10.95531246	8.256159649	8.097932358	8.87331941	-2.654449569	-2.987002451	-2.113818136	-0.80925	-1.1675	-0.93975
10/05/12	1.851313502	10.9589357	8.690181537	8.635055816	9.356145665	-2.272599618	-2.461802681	-1.669585903	-1.23575	0.43475	0.907416667
11/05/12	2.186866253	10.93109378	9.189556884	8.529033937	9.606015422	-1.725426697	-2.549818485	-1.361824672	0.159375	-0.422	0.85925
12/05/12	1.922377507	10.73007419	9.273197285	8.285372677	9.58974804	-1.461979726	-2.53083389	-1.166774692	-1.686	-1.47925	-1.179666667
13/05/12	2.058164111	10.65731328	8.114182818	8.737489794	9.166781062	-2.473732555	-1.992138569	-1.511072699	-0.44475	-1.32025	-0.387
14/05/12	2.485623583	10.92261387	8.082017307	8.892649048	9.260465676	-2.844094099	-2.169294109	-1.757675792	-0.632375	-1.0185	1.9335
15/05/12	2.196761502	10.95125235	8.27235411	8.540705189	9.108651487	-2.672075793	-2.548819145	-1.915402464	-0.092875	-0.113	0.178916667
16/05/12	2.051302513	10.92693469	9.273510653	8.472725889	9.644368088	-1.667294309	-2.578153468	-1.329267181	-0.193625	0.85025	1.440166667
17/05/12	1.892826855	10.67213541	8.77742891	8.806734971	9.485336473	-1.885869206	-1.918486509	-1.208897696	0.728875	-1.278	1.465166667
18/05/12	1.974977588	10.79306377	8.641236443	8.523153725	9.277084194	-2.161036795	-2.401297328	-1.580821529	-1.08475	0.418	0.233333333
19/05/12	1.59189969	10.73095982	7.856619359	8.69219175	9.052398794	-2.802971215	-2.148276604	-1.729828989	-0.354875	0.36275	0.535583333
