BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
08.01.2015;07:00;UTC;08.01.2015;15:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;450;500;3600;50Hertz;50Hertz & PSE;Boxberg, Jänschwalde, Rostock;Konventionell
08.01.2015;08:00;UTC;08.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;103;110;1550;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn;Konventionell
08.01.2015;09:00;UTC;08.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1293;1650;18100;50Hertz;50Hertz & TenneT DE;Boxberg, Jänschwalde, Schkopau, Schwarze Pumpe;Konventionell
08.01.2015;11:00;UTC;08.01.2015;18:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;244;520;1710;TransnetBW;TenneT DE;Vorarlberger Illwerke AG;Sonstiges
08.01.2015;14:00;UTC;08.01.2015;16:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;175;250;350;TenneT DE;TenneT DE;Statkraft KW-Pool;Konventionell
08.01.2015;15:00;UTC;08.01.2015;16:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;300;300;300;50Hertz;50Hertz & PSE;Boxberg, Rostock;Konventionell
08.01.2015;16:00;UTC;08.01.2015;20:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;800;50Hertz;50Hertz & PSE;Rostock;Konventionell
08.01.2015;16:00;UTC;08.01.2015;17:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;150;150;150;TenneT DE;TenneT DE;Statkraft KW-Pool;Konventionell
08.01.2015;16:00;UTC;08.01.2015;18:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;95;150;190;TenneT DE;TenneT DE;Statkraft KW-Pool;Konventionell
08.01.2015;16:00;UTC;08.01.2015;19:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;242;375;725;TenneT DE;TenneT DE;Gebersdorf 1;Konventionell
08.01.2015;19:00;UTC;08.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;125;200;500;TenneT DE;50Hertz & TenneT DE;Gebersdorf 1;Konventionell
08.01.2015;20:00;UTC;08.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;600;50Hertz;50Hertz & PSE;Jänschwalde;Konventionell
08.01.2015;23:00;UTC;09.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;225;470;5390;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn;Konventionell
