week	de_price_vol	de_load_vol	de_wind_vol	de_solar_vol	de_res_vol	de_wind_pen_vol	de_solar_pen_vol	de_res_pen_vol	de_exim_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_exim
40	1.996528193	8.432524473	7.920641298	6.420843077	7.861433019	-3.006175172	-4.339306646	-3.006637534	5.645942088	10.86156941	8.893756372	7.802641391	9.183318047	-1.9488272	-3.133725062	-1.68202862	1.947380952
41	2.005150045	8.509130879	7.540031191	7.172032075	7.506762266	-3.497559663	-3.945289527	-3.76725139	6.616989578	10.90652441	8.445720986	7.944847924	8.919468444	-2.442999056	-3.069768214	-2.014914831	1.497363095
42	0.939529491	8.50747633	7.874829681	6.774025528	7.96499094	-3.126702008	-4.177385332	-3.126499	5.848266498	10.90869219	8.585522704	7.990666163	9.024836235	-2.338669887	-3.005686117	-1.924418373	1.94702381
43	1.803758236	8.279188269	7.231065971	6.578892096	7.122058911	-3.701561966	-4.548098526	-3.822455998	6.809652482	10.91960608	7.950025135	7.488516915	8.438808962	-2.938805396	-3.533447326	-2.499415561	1.180367857
44	2.170911446	8.366756401	7.900399267	6.437659619	7.952104891	-3.020605242	-4.783541957	-3.004750934	6.849158554	10.91902346	9.045724575	7.435627793	9.22793635	-1.848520886	-3.601929463	-1.688800634	1.458190476
45	1.638445678	8.45641074	8.216899614	5.976258929	8.163394944	-2.817057267	-5.198988208	-2.883063063	6.2373331	10.9505913	9.08696597	6.901847865	9.19354375	-1.84495363	-4.161445661	-1.750899756	1.449297619
46	1.628434562	8.554278874	6.95620648	6.024467172	6.888636145	-3.938284562	-5.124846861	-3.966731993	5.899385541	10.97310516	7.868910304	7.486848044	8.389162892	-3.051752827	-3.584019317	-2.589735747	1.769982143
47	2.386244026	8.50094695	8.310309118	5.539588867	8.274547426	-2.45506269	-5.866978467	-2.469417524	6.865702802	10.96259353	8.736313422	7.085148965	8.911800346	-2.170824082	-3.986271326	-2.020023209	0.912404762
48	1.754207615	8.451261417	7.624515447	5.394438609	7.594550503	-3.369037133	-5.660179371	-3.393169214	6.975247327	10.98540137	8.485564609	6.431124069	8.606156601	-2.465297554	-4.645893751	-2.358261702	1.18425
49	1.836174088	8.545623638	8.105953636	5.097692064	8.06520309	-2.737762254	-6.007528289	-2.768980922	5.991068777	10.9957847	8.944104487	6.441152527	9.022770596	-2.028187519	-4.648107722	-1.957907382	1.99327381
